title,slug,description,location_id,date
Social Meet,may11,"Social meet this month at the Paramount for Talk of Ruby and many other interesting things.
",8,2011-05-19 19:00:00 UTC
What's New in Rails 1.2,january07,"[Michael Josephson](http://josephson.org) will be giving a talk about the new features available in the imminent 1.2 release of Rails.

## The schedule

- 6:30pm :: Welcome & Registration
- 7:00pm :: Talk starts
- 8:30pm :: Move to The Paramount pub",6,2007-01-17 18:30:00 UTC
Ruby and Rails Mini Conference,ruby-and-rails-day,"NWRUG was launched at the [GeekUp](http://geekup.org) Ruby and Rails mini-conference held on 30th September at the [MDDA](http://manchesterdda.com) in Manchester.

More details about the event can be found at the [Ruby and Rails Day mini-site](http://geekup.org/rubyandrails).

## Download the Slides

All of the slides from the day have been made available for download here.

1. [Introduction to Ruby on Rails](http://files.nwrug.org/GeekUpRubyAndRails/IntroductionToRailsByDaveVerwer.pdf) by [Dave Verwer](http://shinydevelopment.com)
2. [Ruby for Existing Programmers](http://files.nwrug.org/GeekUpRubyAndRails/RubyForExistingProgrammersByCarlDrinkwater.pdf) by [Carl Drinkwater](http://29degrees.co.uk)
3. [Javascript, Ajax and script.aculo.us on Rails](http://monkeyhelper.com/downloads/s5-railsajax) by [Rob Lee](http://monkeyhelper.com)
4. [Hosting and Deploying Rails](http://files.nwrug.org/GeekUpRubyAndRails/HostingAndDeployingRailsByDaveVerwer.pdf) by [Dave Verwer](http://shinydevelopment.com)
5. [WATIR – Web Application Testing in Ruby](http://files.nwrug.org/GeekUpRubyAndRails/WATIRByPhilWinstanley.pdf) by [Phil Winstanley](http://weblogs.asp.net/plip)
",6,2006-09-30 09:30:00 UTC
The NWRUG Way,june07,"This month we have something a little less formal, but hopefully just as interesting. Submit some code (see the discussion on the mailing list for how to do this) and we will have an evening of code reviews and our own little version of [The Rails Way](http://therailsway.com), NWRUG style.

More details of the code coming, closer to the event!

## The schedule

- 6:30pm :: Welcome & Registration
- 7:00pm :: Code Reviews!
- 7:45pm :: Break
- 8:00pm :: More Code Reviews (hopefully, please submit more code!)
- 8:30pm :: Drinks at the [The Paramount](http://www.jdwetherspoon.co.uk/pubfinder/details.php?OutletNumber=422)",6,2007-06-26 18:30:00 UTC
Speedy TDD with Rails (the wrong way) ,16th-february-speedy-tdd-with-rails-the-wrong-way,"If you practice Test Driven Development, then you know that one of the most important things to have is a fast feedback loop when running your tests. Unfortunately, Rails out of the box has a painfully slow boot time. In this talk Ash Moran will go over some techniques to help speed up this feedback loop and take control of your testing once again.

This month’s NWRUG is kindly sponsored by [Fatsoma](http://www.fatsoma.com/).

## The schedule

- 6:30pm :: Pre-talk drinks at [Common](http://www.aplacecalledcommon.co.uk/)
- 7:00pm :: Meet at [The MadLab](http://madlab.org.uk/)
- 7:15pm :: Speedy TDD with Rails (the wrong way) by Ash Moran
- 8:00pm :: Post-talk drinks back at [Common](http://www.aplacecalledcommon.co.uk/)",1,2012-02-16 18:30:00 UTC
Pub Meet: RubyConf Aftermath,november08,This month the meeting will be two weeks after RubyConf so we will all be getting together to discuss any exciting news that may have found it’s way out onto the blogs. Maybe drink some curry and beer too!,8,2008-11-20 19:00:00 UTC
Just Geeks in the Pub (again),may08,"No talks this month, just some geeks in the pub. Feel free to bring a laptop and anything ruby or just turn up and have a beer and a chat.",8,2008-05-22 19:00:00 UTC
Just Geeks in the Pub,april08,"No talks this month, just some geeks in the pub. Feel free to bring a laptop and anything ruby or just turn up and have a beer and a chat.",1,2008-04-17 19:00:00 UTC
MacRuby with Caius Durling,july10,"This month [Caius Durling](http://caius.name/) will be talking about [MacRuby](http://www.macruby.org/).

There is sponsorship from [Brightbox](http://www.brightbox.co.uk/) this month so there will be free pizza in Odder over the road from the venue after the talks. There will be no poetry.

## The schedule

- 6:30pm :: Welcome & Pre-session bar visit.
- 7:00pm :: [MacRuby](http://www.macruby.org/) by [Caius Durling](http://caius.name/)
- 7:30pm :: Drinks at the BBC bar
- 8:00pm :: Off to Odder across the road for free pizzas sponsored by [Brightbox](http://www.brightbox.co.uk/).

## Sign up

If you would like to attend this event please [sign up here](http://spreadsheets.google.com/viewform?hl=en&formkey=cG9TNWpCQXVlamg5eGJYZEJNWkxLQ3c6MA) as the BBC need a list of attendees before the event and I need numbers for the food order.",10,2010-07-15 18:30:00 UTC
"Ruby, Cloud Infrastructure & Heroku",september10,"This month Paul Robinson of [Ticket Sense](http://ticketsense.co.uk/) will be talking on Ruby, Cloud Infrastructure & Heroku.

Sponsorship is kindly provided this month by [Ticket Sense](http://ticketsense.co.uk/), so free pizza will be available after the talk.

## The schedule

- 6:00pm :: Welcome & Pre-session bar visit.
- 6:30pm :: Ruby, Cloud Infrastructure & Heroku with Paul Robinson
- 8:00pm :: Off to the bar across the road for free pizza sponsored by [Ticket Sense](http://ticketsense.co.uk/)",10,2010-09-16 18:00:00 UTC
"Synthesis, Connecting the Dots",june08,"Currently we believe that developers are writing unnecessary dependency wired tests to cover uncertainty about the validity of simulated interactions in their dependency neutral tests. In other words, we cannot be certain that all our simulated interaction based tests ‘join up’. If it were possible to correlate the simulated interactions in our tests, then we should be able to do away with the need to write large numbers of complex, slow and brittle wired tests (apart from those which interact with the boundaries of the SUT).

Synthesis combines lightweight tests to build confidence that the system under test is complete and reduces the need for large, overarching tests.

## The schedule

- 6:30pm :: Welcome & Registration
- 7:00pm :: Synthesis, Connecting the Dots, Stuart Caborn, George Malamidis & Alex Scordellis of [Thoughtworks](http://www.thoughtworks.co.uk/)
- 8:30pm :: Drinks at the [The Paramount](http://www.jdwetherspoon.co.uk/pubfinder/details.php?OutletNumber=422)",6,2008-06-24 18:30:00 UTC
Building Brightbox,january08,"The NWRUG has a new web host and you would not be reading this right now without the services kindly donated by [Brightbox](https://www.brightbox.co.uk/a/zr3hp). This month Jeremy Jarvis and John Leach from Brightbox are going to be telling us all about building the service and the business from the ground up, covering all aspects of the process.

## The schedule

- 6:30pm :: Welcome & Registration
- 7:00pm :: Building Brightbox, Jeremy Jarvis & John Leach
- 8:00pm :: Break
- 8:15pm :: [Contact me](http://www.shinydevelopment.com/contact) if you would like to do a 15 minute short presentation.
- 8:30pm :: Drinks at the [The Paramount](http://www.jdwetherspoon.co.uk/pubfinder/details.php?OutletNumber=422)",6,2008-01-29 18:30:00 UTC
